,winner,rounds
0,dealer,1
1,dealer,1
2,dealer,1
3,dealer,1
4,dealer,1
5,dealer,1
6,dealer,1
7,dealer,1
8,dealer,1
9,dealer,1
10,dealer,1
11,dealer,1
12,dealer,1
13,dealer,1
14,dealer,1
15,dealer,1
16,dealer,1
17,dealer,1
18,dealer,1
19,dealer,1
20,dealer,1
21,dealer,1
22,dealer,1
23,dealer,1
24,dealer,1
25,dealer,1
26,dealer,1
27,dealer,1
28,dealer,1
29,dealer,1
30,dealer,1
31,dealer,1
32,dealer,1
33,dealer,1
34,dealer,1
35,dealer,1
36,dealer,1
37,dealer,1
38,dealer,1
39,dealer,1
40,dealer,1
41,dealer,1
42,dealer,1
43,dealer,1
44,dealer,1
45,dealer,1
46,dealer,1
47,dealer,1
48,dealer,1
49,dealer,1
50,dealer,1
51,dealer,1
52,dealer,1
53,dealer,1
54,dealer,1
55,dealer,1
56,dealer,1
57,dealer,1
58,dealer,1
59,dealer,1
60,dealer,1
61,dealer,1
62,dealer,1
63,dealer,1
64,dealer,1
65,dealer,1
66,dealer,1
67,dealer,1
68,dealer,1
69,dealer,1
70,dealer,1
71,dealer,1
72,dealer,1
73,dealer,1
74,dealer,1
75,dealer,1
76,dealer,1
77,dealer,1
78,dealer,1
79,dealer,1
80,dealer,1
81,dealer,1
82,dealer,1
83,dealer,1
84,dealer,1
85,dealer,1
86,dealer,1
87,dealer,1
88,dealer,1
89,dealer,1
90,dealer,1
91,dealer,1
92,dealer,1
93,dealer,1
94,dealer,1
95,dealer,1
96,dealer,1
97,dealer,1
98,dealer,1
99,dealer,1
100,dealer,1
101,dealer,1
102,dealer,1
103,dealer,1
104,dealer,1
105,dealer,1
106,dealer,1
107,dealer,1
108,dealer,1
109,dealer,1
110,dealer,1
111,dealer,1
112,dealer,1
113,dealer,1
114,dealer,1
115,dealer,1
116,dealer,1
117,dealer,1
118,dealer,1
119,dealer,1
120,dealer,1
121,dealer,1
122,dealer,1
123,dealer,1
124,dealer,1
125,dealer,1
126,dealer,1
127,dealer,1
128,dealer,1
129,dealer,1
130,dealer,1
131,dealer,1
132,dealer,1
133,dealer,1
134,dealer,1
135,dealer,1
136,dealer,1
137,dealer,1
138,dealer,1
139,dealer,1
140,dealer,1
141,dealer,1
142,dealer,1
143,dealer,1
144,dealer,1
145,dealer,1
146,dealer,1
147,dealer,1
148,dealer,1
149,dealer,1
150,dealer,1
151,dealer,1
152,dealer,1
153,dealer,1
154,dealer,1
155,dealer,1
156,dealer,1
157,dealer,1
158,dealer,1
159,dealer,1
160,dealer,1
161,dealer,1
162,dealer,1
163,dealer,1
164,dealer,1
165,dealer,1
166,dealer,1
167,dealer,1
168,dealer,1
169,dealer,1
170,dealer,1
171,dealer,1
172,dealer,1
173,dealer,1
174,dealer,1
175,dealer,1
176,dealer,1
177,dealer,1
178,dealer,1
179,dealer,1
180,dealer,1
181,dealer,1
182,dealer,1
183,dealer,1
184,dealer,1
185,dealer,1
186,dealer,1
187,dealer,1
188,dealer,1
189,dealer,1
190,dealer,1
191,dealer,1
192,dealer,1
193,dealer,1
194,dealer,1
195,dealer,1
196,dealer,1
197,dealer,1
198,dealer,1
199,dealer,1
200,dealer,1
201,dealer,1
202,dealer,1
203,dealer,1
204,dealer,1
205,dealer,1
206,dealer,1
207,dealer,1
208,dealer,1
209,dealer,1
210,dealer,1
211,dealer,1
212,dealer,1
213,dealer,1
214,dealer,1
215,dealer,1
216,dealer,1
217,dealer,1
218,dealer,1
219,dealer,1
220,dealer,1
221,dealer,1
222,dealer,1
223,dealer,1
224,dealer,1
225,dealer,1
226,dealer,1
227,dealer,1
228,dealer,1
229,dealer,1
230,dealer,1
231,dealer,1
232,dealer,1
233,dealer,1
234,dealer,1
235,dealer,1
236,dealer,1
237,dealer,1
238,dealer,1
239,dealer,1
240,dealer,1
241,dealer,1
242,dealer,1
243,dealer,1
244,dealer,1
245,dealer,1
246,dealer,1
247,dealer,1
248,dealer,1
249,dealer,1
250,dealer,1
251,dealer,1
252,dealer,1
253,dealer,1
254,dealer,1
255,dealer,1
256,dealer,1
257,dealer,1
258,dealer,1
259,dealer,1
260,dealer,1
261,dealer,1
262,dealer,1
263,dealer,1
264,dealer,1
265,dealer,1
266,dealer,1
267,dealer,1
268,dealer,1
269,dealer,1
270,dealer,1
271,dealer,1
272,dealer,1
273,dealer,1
274,dealer,1
275,dealer,1
276,dealer,1
277,dealer,1
278,dealer,1
279,dealer,1
280,dealer,1
281,dealer,1
282,dealer,1
283,dealer,1
284,dealer,1
285,dealer,1
286,dealer,1
287,dealer,1
288,dealer,1
289,dealer,1
290,dealer,1
291,dealer,1
292,dealer,1
293,dealer,1
294,dealer,1
295,dealer,1
296,dealer,1
297,dealer,1
298,dealer,1
299,dealer,1
300,dealer,1
301,dealer,1
302,dealer,1
303,dealer,1
304,dealer,1
305,dealer,1
306,dealer,1
307,dealer,1
308,dealer,1
309,dealer,1
310,dealer,1
311,dealer,1
312,dealer,1
313,dealer,1
314,dealer,1
315,dealer,1
316,dealer,1
317,dealer,1
318,dealer,1
319,dealer,1
320,dealer,1
321,dealer,1
322,dealer,1
323,dealer,1
324,dealer,1
325,dealer,1
326,dealer,1
327,dealer,1
328,dealer,1
329,dealer,1
330,dealer,1
331,dealer,1
332,dealer,1
333,dealer,1
334,dealer,1
335,dealer,1
336,dealer,1
337,dealer,1
338,dealer,1
339,dealer,1
340,dealer,1
341,dealer,1
342,dealer,1
343,dealer,1
344,dealer,1
345,dealer,1
346,dealer,1
347,dealer,1
